"id","label","obsolete","ordering"
"download","videoUtils.destination.download","0","0"
"renditions","videoUtils.destination.renditions","0","0"
"newDoc","videoUtils.destination.newDocument","0","0"
"files","videoUtils.destination.files","0","0"
